CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD175,0.059957,18.9966,6.42857,1.46429,0.1606,0.62695,0.991357,0.571123,-0.059957,9.80988,
TD176,0.060066,18.7443,6.42857,1.46429,0.158467,0.626924,0.993071,0.572744,-0.055992,9.68397,
TD177,0.060042,18.5042,6.42857,1.46429,0.156436,0.627086,0.994857,0.574493,-0.052443,9.56406,
TD178,0.060018,18.2701,6.42857,1.46429,0.154457,0.626949,0.9965,0.576052,-0.048838,9.44719,
TD179,0.060012,18.0471,6.42857,1.46429,0.152572,0.626998,0.998143,0.577594,-0.045481,9.33595,
TD180,0.060006,17.8295,6.42857,1.46429,0.150732,0.627046,0.999786,0.578955,-0.042205,9.22725,
TD181,0.060036,17.4218,6.42857,1.46429,0.147286,0.627016,1.00286,0.581709,-0.03619,9.02371,
TD182,0.060064,17.2285,6.42857,1.46429,0.145651,0.626994,1.00429,0.583021,-0.033292,8.92717,
TD183,0.059962,17.0417,6.42857,1.46429,0.144072,0.627058,1.00579,0.584248,-0.030461,8.83384,
TD184,0.059969,17.6496,5.29412,0.382,0.220264,0.452039,1.21047,0.378428,-1.00924,8.69987,
TD185,0.059941,17.4757,5.29412,0.382353,0.218095,0.451949,1.21588,0.381314,-0.998874,8.62037,
TD186,0.060061,17.3077,5.29412,0.382353,0.215998,0.451923,1.22112,0.383919,-0.98913,8.5432,
TD187,0.059987,19.8149,5.29412,1.20588,0.247288,0.477026,0.918941,0.478302,-0.477664,10.0335,
TD188,0.060072,19.5314,5.29412,1.20588,0.243749,0.476962,0.922706,0.48105,-0.468313,9.89574,
TD189,0.059957,18.9966,5.29412,1.20588,0.237076,0.477057,0.929706,0.486234,-0.450444,9.63567,
TD190,0.060066,18.7443,5.29412,1.20588,0.233927,0.476909,0.933059,0.48853,-0.442197,9.51283,
TD191,0.060042,18.5042,5.29412,1.20588,0.23093,0.477056,0.936176,0.490912,-0.434297,9.39586,
TD192,0.060018,18.2701,5.29412,1.20588,0.228008,0.477052,0.939235,0.493086,-0.426449,9.2817,
TD193,0.060012,18.0471,5.29412,1.20588,0.225225,0.477042,0.942176,0.49535,-0.41921,9.17306,
TD194,0.060006,17.8295,5.29412,1.20588,0.222509,0.477031,0.944941,0.497416,-0.412001,9.0669,
TD195,0.060036,17.4218,5.29412,1.20588,0.217422,0.477066,0.950294,0.501333,-0.398653,8.868,
TD196,0.060064,17.2285,5.29412,1.20588,0.215009,0.477043,0.952765,0.503121,-0.392287,8.77362,
TD197,0.059962,17.0417,5.29412,1.20588,0.212678,0.476948,0.955176,0.50494,-0.386251,8.68235,
TD198,0.060076,19.7394,5.29412,1.20588,0.246345,0.602034,0.927294,0.492212,-0.279879,10.1353,
TD199,0.059969,19.4976,5.29412,1.20588,0.243328,0.602041,0.929353,0.494662,-0.272998,10.0159,
TD200,0.059933,19.0374,5.29412,1.20588,0.237584,0.601931,0.933294,0.499387,-0.26027,9.78863,
TD201,0.06,18.8182,5.29412,1.20588,0.234848,0.60197,0.935176,0.501667,-0.254242,9.6803,
TD202,0.059925,18.6067,5.29412,1.20588,0.23221,0.601948,0.936941,0.50382,-0.24839,9.57573,
TD203,0.059953,18.2058,5.29412,1.20588,0.227206,0.602023,0.940412,0.508062,-0.237467,9.37745,
TD204,0.060052,18.0157,5.29412,1.20588,0.224833,0.601973,0.942059,0.510009,-0.232231,9.28344,
TD205,0.060006,17.8295,5.29412,1.20588,0.222509,0.602067,0.943647,0.511915,-0.227247,9.19136,
TD206,0.059941,17.4757,5.29412,1.20588,0.218095,0.601942,0.946765,0.515407,-0.217673,9.01632,
TD207,0.060061,17.3077,5.29412,1.20588,0.215998,0.602007,0.948235,0.51714,-0.213211,8.93311,
TD208,0.059957,18.9966,4.73684,1.07895,0.1606,0.451973,0.992895,0.543897,-0.566993,9.60477,
TD209,0.060066,18.7443,4.73684,1.07895,0.158467,0.452007,0.994842,0.545578,-0.557199,9.48189,
TD210,0.060042,18.5042,4.73684,1.07895,0.156436,0.452026,0.996789,0.547229,-0.547974,9.36487,
TD211,0.060018,18.2701,4.73684,1.07895,0.154457,0.452045,0.998632,0.548691,-0.538982,9.25066,
TD212,0.060012,18.0471,4.73684,1.07895,0.152572,0.452049,1.00042,0.550131,-0.530369,9.14197,
